,Country Pairing,Tension Score
0,China-India,2.705
1,China-Kazakhstan,1.34
2,China-Saudi Arabia,4.73
3,China-Iran,16.215
4,China-Mongolia,1.075
5,China-Pakistan,3.59
6,China-Myanmar,2.03
7,China-Afghanistan,2.91
8,China-Yemen,30.91
9,China-Thailand,97.96
10,China-Turkmenistan,0.65
11,China-Iraq,98.075
12,China-Japan,99.25
13,China-Vietnam,51.2
14,China-Oman,0.71
15,China-Kyrgyzstan,1.89
16,China-Syria,97.405
17,China-Bangladesh,1.135
18,China-Nepal,2.515
19,China-N. Korea,86.755
20,China-S. Korea,7.775
21,China-Azerbaijan,2.7
22,China-United Arab Emirates,2.215
23,China-Sri Lanka,96.23
24,China-Israel,1.23
25,China-Uzbekistan,4.155
26,China-Laos,4.71
27,China-Cambodia,2.885
28,China-Tajikistan,2.955
29,China-Jordan,1.095
30,China-Georgia,1.43
31,China-Bhutan,28.925
32,China-Armenia,3.7
33,China-Kuwait,1.04
34,China-Qatar,1.51
35,China-Lebanon,3.34
36,China-Singapore,3.255
37,China-Bahrain,5.38
38,China-Maldives,4.69
39,India-Kazakhstan,0.625
40,India-Saudi Arabia,81.845
41,India-Iran,11.1
42,India-Mongolia,1.03
43,India-Pakistan,99.15
44,India-Myanmar,55.77
45,India-Afghanistan,5.45
46,India-Yemen,20.34
47,India-Thailand,0.235
48,India-Turkmenistan,0.32
49,India-Iraq,0.435
50,India-Japan,0.47
51,India-Vietnam,2.495
52,India-Oman,9.63
53,India-Kyrgyzstan,0.78
54,India-Syria,99.165
55,India-Bangladesh,98.36
56,India-Nepal,41.725
57,India-N. Korea,9.25
58,India-S. Korea,0.615
59,India-Azerbaijan,0.305
60,India-United Arab Emirates,2.025
61,India-Sri Lanka,18.155
62,India-Israel,0.63
63,India-Uzbekistan,1.595
64,India-Laos,0.63
65,India-Cambodia,4.5
66,India-Tajikistan,0.39
67,India-Jordan,2.625
68,India-Georgia,0.435
69,India-Bhutan,1.7
70,India-Armenia,1.02
71,India-Kuwait,2.38
72,India-Qatar,0.305
73,India-Lebanon,2.205
74,India-Singapore,1.145
75,India-Bahrain,1.025
76,India-Maldives,73.835
77,Kazakhstan-Saudi Arabia,1.095
78,Kazakhstan-Iran,3.7
79,Kazakhstan-Mongolia,0.34
80,Kazakhstan-Pakistan,1.105
81,Kazakhstan-Myanmar,1.355
82,Kazakhstan-Afghanistan,0.59
83,Kazakhstan-Yemen,2.7
84,Kazakhstan-Thailand,15.46
85,Kazakhstan-Turkmenistan,34.885
86,Kazakhstan-Iraq,50.285
87,Kazakhstan-Japan,0.33
88,Kazakhstan-Vietnam,1.25
89,Kazakhstan-Oman,0.745
90,Kazakhstan-Kyrgyzstan,51.29
91,Kazakhstan-Syria,98.005
92,Kazakhstan-Bangladesh,1.17
93,Kazakhstan-Nepal,1.94
94,Kazakhstan-N. Korea,98.37
95,Kazakhstan-S. Korea,0.74
96,Kazakhstan-Azerbaijan,6.795
97,Kazakhstan-United Arab Emirates,39.885
98,Kazakhstan-Sri Lanka,0.86
99,Kazakhstan-Israel,1.28
100,Kazakhstan-Uzbekistan,2.245
101,Kazakhstan-Laos,0.8
102,Kazakhstan-Cambodia,0.305
103,Kazakhstan-Tajikistan,19.065
104,Kazakhstan-Jordan,0.31
105,Kazakhstan-Georgia,98.245
106,Kazakhstan-Bhutan,1.33
107,Kazakhstan-Armenia,13.045
108,Kazakhstan-Kuwait,0.855
109,Kazakhstan-Qatar,1.53
110,Kazakhstan-Lebanon,2.66
111,Kazakhstan-Singapore,1.295
112,Kazakhstan-Bahrain,0.67
113,Kazakhstan-Maldives,1.48
114,Saudi Arabia-Iran,99.08
115,Saudi Arabia-Mongolia,2.06
116,Saudi Arabia-Pakistan,2.065
117,Saudi Arabia-Myanmar,95.845
118,Saudi Arabia-Afghanistan,97.505
119,Saudi Arabia-Yemen,99.41
120,Saudi Arabia-Thailand,46.14
121,Saudi Arabia-Turkmenistan,27.98
122,Saudi Arabia-Iraq,95.59
123,Saudi Arabia-Japan,21.705
124,Saudi Arabia-Vietnam,95.445
125,Saudi Arabia-Oman,95.38
126,Saudi Arabia-Kyrgyzstan,97.795
127,Saudi Arabia-Syria,92.75
128,Saudi Arabia-Bangladesh,34.605
